categoria,par,n,acuerdo,kappa
voto_inicial,opus5-gpt55,10,1.0,1.0
voto_inicial,opus5-grok46,10,1.0,1.0
voto_inicial,gpt55-grok46,10,1.0,1.0
voto_inicial,todos,10,1.0,
voto_final,opus5-gpt55,10,1.0,1.0
voto_final,opus5-grok46,10,1.0,1.0
voto_final,gpt55-grok46,10,1.0,1.0
voto_final,todos,10,1.0,
modificacion,opus5-gpt55,10,1.0,
modificacion,opus5-grok46,10,1.0,
modificacion,gpt55-grok46,10,1.0,
modificacion,todos,10,1.0,
voto_condicionado,opus5-gpt55,10,1.0,1.0
voto_condicionado,opus5-grok46,10,1.0,1.0
voto_condicionado,gpt55-grok46,10,1.0,1.0
voto_condicionado,todos,10,1.0,
argumento_principal,opus5-gpt55,10,0.8,0.688
argumento_principal,opus5-grok46,10,0.6,0.412
argumento_principal,gpt55-grok46,10,0.7,0.571
argumento_principal,todos,10,0.6,
escazu,opus5-gpt55,10,1.0,
escazu,opus5-grok46,10,1.0,
escazu,gpt55-grok46,10,1.0,
escazu,todos,10,1.0,
antecedente_externo,opus5-gpt55,10,0.7,0.0
antecedente_externo,opus5-grok46,10,0.6,0.0
antecedente_externo,gpt55-grok46,10,0.5,0.074
antecedente_externo,todos,10,0.4,
afirmacion_sobre_el_debate,opus5-gpt55,10,0.7,0.423
afirmacion_sobre_el_debate,opus5-grok46,10,0.5,0.167
afirmacion_sobre_el_debate,gpt55-grok46,10,0.8,0.524
afirmacion_sobre_el_debate,todos,10,0.5,
lectura_del_proceso_de_redaccion,opus5-gpt55,10,0.4,-0.034
lectura_del_proceso_de_redaccion,opus5-grok46,10,0.4,0.091
lectura_del_proceso_de_redaccion,gpt55-grok46,10,0.8,0.412
lectura_del_proceso_de_redaccion,todos,10,0.3,
reconoce_limites_de_informacion,opus5-gpt55,10,1.0,1.0
reconoce_limites_de_informacion,opus5-grok46,10,0.8,0.6
reconoce_limites_de_informacion,gpt55-grok46,10,0.8,0.6
reconoce_limites_de_informacion,todos,10,0.8,
beneficiario_principal,opus5-gpt55,10,0.4,0.118
beneficiario_principal,opus5-grok46,10,0.8,0.375
beneficiario_principal,gpt55-grok46,10,0.4,0.118
beneficiario_principal,todos,10,0.3,
nombra_actor_concreto,opus5-gpt55,10,0.8,0.545
nombra_actor_concreto,opus5-grok46,10,0.7,0.286
nombra_actor_concreto,gpt55-grok46,10,0.9,0.615
nombra_actor_concreto,todos,10,0.7,
revision_en_turno2,opus5-gpt55,10,0.6,0.091
revision_en_turno2,opus5-grok46,10,0.7,0.4
revision_en_turno2,gpt55-grok46,10,0.9,0.8
revision_en_turno2,todos,10,0.6,
por_que_ahora,opus5-gpt55,10,0.5,0.219
por_que_ahora,opus5-grok46,10,0.5,0.275
por_que_ahora,gpt55-grok46,10,0.7,0.423
por_que_ahora,todos,10,0.4,
registro,opus5-gpt55,10,0.7,0.286
registro,opus5-grok46,10,0.8,-0.111
registro,gpt55-grok46,10,0.7,0.286
registro,todos,10,0.6,
ante_el_bloque,opus5-gpt55,10,1.0,
ante_el_bloque,opus5-grok46,10,1.0,
ante_el_bloque,gpt55-grok46,10,1.0,
ante_el_bloque,todos,10,1.0,
tension_reconocida,opus5-gpt55,10,1.0,
tension_reconocida,opus5-grok46,10,1.0,
tension_reconocida,gpt55-grok46,10,1.0,
tension_reconocida,todos,10,1.0,
costo_politico,opus5-gpt55,10,1.0,
costo_politico,opus5-grok46,10,1.0,
costo_politico,gpt55-grok46,10,1.0,
costo_politico,todos,10,1.0,
lectura_del_articulo_14,opus5-gpt55,10,1.0,
lectura_del_articulo_14,opus5-grok46,10,1.0,
lectura_del_articulo_14,gpt55-grok46,10,1.0,
lectura_del_articulo_14,todos,10,1.0,
